UID,Lat,Lon,CO,PM10,PM25,AQI
72,43.58925,-119.048302,,12,12,12
73,-123.64835,42.1617,,11,10,11
74,44.5884,-123.2673,,7,5,7
75,45.426351,-117.296066,,12,15,15
76,42.434149,-123.348466,,11,6,30
77,45.828968,-119.262991,,10,9,29
78,45.528501,-122.972398,2.2,7,2,16
79,44.417999,-118.951302,,11,11,11
80,42.190296,-121.731369,,11,10,11
81,45.339,-118.095206,,14,11,14
82,42.189215,-120.353969,,10,13,13
83,44.778743,-122.617048,,25,58,58
84,42.31411,-122.87923,,11,1,30
85,45.652231,-118.823033,,10,9,29
86,45.496641,-122.602877,2.2,7,5,7
87,44.299787,-120.844773,,12,10,12
88,43.2266,-123.36479,,11,7,11
89,44.943114,-123.005934,,8,6,25
90,42.623225,-122.810158,,11,8,30
91,45.014998,-122.790382,,19,50,50
92,44.2921,-121.5555,,3,8,8
93,44.3958,-122.7305,,9,15,15
94,45.602419,-121.203387,,11,11,24
95,44.630600,-121.131599,,46,,46
96,46.97228,-123.83173,,,11,11
97,-117.58913,47.64476,,16,19,
98,48.520590,-122.61428,,,17,17
99,48.4654,-122.56,,,2,18
100,47.61311,-122.20161,5,,1,29
101,48.76278,-122.44028,0.1,4,8,20
102,47.592675,-122.62739,2.4,,7,7
103,48.29786,-124.62491,0.8,,5,21
104,46.66409,-122.96732,,,4,4
105,46.425416,-117.060445,,,23,23
106,47.8082264,-117.34327,,16,25,25
107,48.54296,-117.90326,,42,35,42
108,48.95074,-122.55441,0.1,4,5,18
109,48.2468,-121.6031,,,1,1
110,46.318,-117.985,,,8,8
111,46.99364,-120.545,,,5,5
112,46.4085229,-120.5441734,,21,17,21
113,46.21835,-119.20152,,13,8,13
114,47.38614,-122.23195,3.9,,12,12
115,47.02938,-122.82161,,,4,4
116,46.8153,-117.8739,,,15,15
117,47.75452,-122.28034,6,,17,17
118,47.59886,-120.6647,,,2,2
119,47.6603562,-117.0799962,,13,38,38
120,46.139443,-122.961944,,6,5,22
121,47.8064,-122.3167,2.4,,5,5
122,48.9477,-122.1471,0.1,2,8,10
123,48.054315,-122.171529,2.4,,6,14
124,46.5754,-119.0021,,14,15,15
125,47.1303,-119.2737,,,9,9
126,48.4102,-122.3376,,,6,15
127,48.366058,-124.610045,0.8,,7,21
128,47.49022,-121.77278,5,,6,16
129,-122.66,48.2944,,,2,18
130,46.818292,-123.197083,,,15,15
131,48.39999,-119.51896,,,13,13
132,48.11697,-123.46555,0,,13,13
133,48.12919,-122.77897,,,10,18
134,46.7244,-117.18014,,,13,13
135,47.1401,-122.3004,,,5,5
136,47.2372495,-122.409946,3,,10,11
137,46.68562,-123.7285563,,,18,18
138,47.128,-118.3819,,,11,11
139,47.23136,-117.36856,,16,15,15
140,-122.3057,47.5713,1.4,,12,
141,47.559975,-122.338265,3.9,,22,22
142,47.6171136,-122.3044689,5,,21,
143,47.6331,-122.3628,6,,21,21
144,47.53091,-122.3208,3.9,,16,16
145,47.21355,-123.10081,,,10,10
146,47.672482,-117.36485,,25,30,30
147,47.6630,-117.4283,,13,17,17
148,47.663962,-117.25765,,25,30,30
149,47.69983,-117.42631,,16,10,10
150,47.2656,-122.385,3.9,,9,9
151,47.18631,-122.45154,,,8,8
152,46.38024,-120.33266,,9,5,9
153,48.069,-122.275,,,10,19
154,48.36451,-120.12113,,,7,7
155,45.668065,-122.549247,,10,17,17
156,46.05881,-118.35147,,,8,8
157,47.88528,-117.98865,,16,10,10
158,47.43061,-120.34195,,,22,
159,48.47724,-120.19057,,,9,9
160,-120.72932,46.37543,,9,1,9
161,45.86639,-122.40889,2.2,6,6,6
162,46.59495,-120.51228,,7,9,9
163,46.4452069,-120.438234,,21,50,50
